archivo,orden,nivel,seccion
contraste-hipotesis-medias-apareadas.html,7,H3,Supuestos del test
contraste-hipotesis-medias-apareadas.html,8,H3,Ejemplo resuelto
contraste-hipotesis-medias-apareadas.html,9,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-medias-apareadas.html,10,H3,Fórmula
contraste-hipotesis-medias-apareadas.html,11,H3,Cómo interpretar el resultado
contraste-hipotesis-medias-apareadas.html,12,H3,Calculadoras relacionadas
contraste-hipotesis-medias-apareadas.html,13,H3,Preguntas frecuentes
contraste-hipotesis-no-inferioridad.html,1,H1,Calculadora online de contraste de no inferioridad y equivalencia
contraste-hipotesis-no-inferioridad.html,2,H2,Calculadora
contraste-hipotesis-no-inferioridad.html,3,H3,Explicación breve
contraste-hipotesis-no-inferioridad.html,4,H3,Hipótesis y estadísticos
contraste-hipotesis-no-inferioridad.html,5,H3,Guía rápida de interpretación
contraste-hipotesis-no-inferioridad.html,6,H3,Ejemplo resuelto: no inferioridad de proporciones
contraste-hipotesis-no-inferioridad.html,7,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-no-inferioridad.html,8,H3,Fórmula
contraste-hipotesis-no-inferioridad.html,9,H3,Cómo interpretar el resultado
contraste-hipotesis-no-inferioridad.html,10,H3,Calculadoras relacionadas
contraste-hipotesis-no-inferioridad.html,11,H3,Preguntas frecuentes
contraste-hipotesis-odds-ratio.html,1,H1,Calculadora de contraste de hipótesis para odds ratio
contraste-hipotesis-odds-ratio.html,2,H2,Calculadora
contraste-hipotesis-odds-ratio.html,3,H3,Explicación breve
contraste-hipotesis-odds-ratio.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-odds-ratio.html,5,H3,Contraste rápido
contraste-hipotesis-odds-ratio.html,6,H3,Ejemplo resuelto
contraste-hipotesis-odds-ratio.html,7,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-odds-ratio.html,8,H3,Fórmula
contraste-hipotesis-odds-ratio.html,9,H3,Cómo interpretar el resultado
contraste-hipotesis-odds-ratio.html,10,H3,Calculadoras relacionadas
contraste-hipotesis-odds-ratio.html,11,H3,Preguntas frecuentes
contraste-hipotesis-proporciones-apareadas.html,1,H1,Calculadora online del test de McNemar para proporciones apareadas
contraste-hipotesis-proporciones-apareadas.html,2,H2,Calculadora
contraste-hipotesis-proporciones-apareadas.html,3,H3,Explicación breve
contraste-hipotesis-proporciones-apareadas.html,4,H3,Tabla 2×2 para datos apareados
contraste-hipotesis-proporciones-apareadas.html,5,H3,Hipótesis y estadístico
contraste-hipotesis-proporciones-apareadas.html,6,H3,Guía rápida de interpretación
contraste-hipotesis-proporciones-apareadas.html,7,H3,¿Por qué solo importan los pares discordantes?
contraste-hipotesis-proporciones-apareadas.html,8,H3,Ejemplo resuelto
contraste-hipotesis-proporciones-apareadas.html,9,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-proporciones-apareadas.html,10,H3,Fórmula
contraste-hipotesis-proporciones-apareadas.html,11,H3,Cómo interpretar el resultado
contraste-hipotesis-proporciones-apareadas.html,12,H3,Calculadoras relacionadas
contraste-hipotesis-proporciones-apareadas.html,13,H3,Preguntas frecuentes
contraste-hipotesis-una-media.html,1,H1,Calculadora online de contraste de hipótesis para una media
contraste-hipotesis-una-media.html,2,H2,Calculadora
contraste-hipotesis-una-media.html,3,H3,Explicación breve
contraste-hipotesis-una-media.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-una-media.html,5,H3,Contraste rápido
contraste-hipotesis-una-media.html,6,H3,¿Por qué hay dos fórmulas en este contraste?
contraste-hipotesis-una-media.html,7,H3,Ejemplo resuelto
contraste-hipotesis-una-media.html,8,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-una-media.html,9,H3,Fórmula
contraste-hipotesis-una-media.html,10,H3,Cómo interpretar el resultado
contraste-hipotesis-una-media.html,11,H3,Calculadoras relacionadas
contraste-hipotesis-una-media.html,12,H3,Preguntas frecuentes
contraste-hipotesis-una-proporcion.html,1,H1,Calculadora online de contraste de hipótesis para una proporción
contraste-hipotesis-una-proporcion.html,2,H2,Calculadora
contraste-hipotesis-una-proporcion.html,3,H3,Explicación breve
contraste-hipotesis-una-proporcion.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-una-proporcion.html,5,H3,Contraste rápido
contraste-hipotesis-una-proporcion.html,6,H3,Ejemplo resuelto
contraste-hipotesis-una-proporcion.html,7,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-una-proporcion.html,8,H3,Fórmula
contraste-hipotesis-una-proporcion.html,9,H3,Cómo interpretar el resultado
contraste-hipotesis-una-proporcion.html,10,H3,Calculadoras relacionadas
contraste-hipotesis-una-proporcion.html,11,H3,Preguntas frecuentes
contraste-hipotesis-varianzas.html,1,H1,Calculadora de contrastes sobre varianzas
contraste-hipotesis-varianzas.html,2,H2,Calculadora
contraste-hipotesis-varianzas.html,3,H3,Explicación breve
contraste-hipotesis-varianzas.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-varianzas.html,5,H3,Contraste rápido
contraste-hipotesis-varianzas.html,6,H3,Ejemplo resuelto
contraste-hipotesis-varianzas.html,7,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-varianzas.html,8,H3,Fórmula
contraste-hipotesis-varianzas.html,9,H3,Cómo interpretar el resultado
contraste-hipotesis-varianzas.html,10,H3,Calculadoras relacionadas
contraste-hipotesis-varianzas.html,11,H3,Preguntas frecuentes
contraste-independencia-chi-cuadrado.html,1,H1,Calculadora de chi-cuadrado de independencia
contraste-independencia-chi-cuadrado.html,2,H2,Calculadora
contraste-independencia-chi-cuadrado.html,3,H3,Explicación breve
contraste-independencia-chi-cuadrado.html,4,H3,Hipótesis y estadístico
contraste-independencia-chi-cuadrado.html,5,H3,Contraste rápido
contraste-independencia-chi-cuadrado.html,6,H3,Ejemplo resuelto
contraste-independencia-chi-cuadrado.html,7,H3,¿Qué calcula esta herramienta?
contraste-independencia-chi-cuadrado.html,8,H3,Fórmula
contraste-independencia-chi-cuadrado.html,9,H3,Cómo interpretar el resultado
contraste-independencia-chi-cuadrado.html,10,H3,Calculadoras relacionadas
contraste-independencia-chi-cuadrado.html,11,H3,Preguntas frecuentes
exponential.html,1,H1,Calculadora de distribución exponencial
exponential.html,2,H2,Configuración
exponential.html,3,H2,Resultado y visualización
exponential.html,4,H3,Distribución exponencial
exponential.html,5,H3,Explicación breve
exponential.html,6,H3,Fórmula
exponential.html,7,H3,Parámetros
exponential.html,8,H3,Ejemplo resuelto
exponential.html,9,H3,¿Qué calcula esta herramienta?
exponential.html,10,H3,Cómo interpretar el resultado
exponential.html,11,H3,Calculadoras relacionadas
exponential.html,12,H3,Preguntas frecuentes
gamma.html,1,H1,Distribución Gamma
gamma.html,2,H2,Configuración
gamma.html,3,H2,Resultado y visualización
gamma.html,4,H3,Distribución gamma
gamma.html,5,H3,Explicación breve
gamma.html,6,H3,Fórmula
gamma.html,7,H3,Parámetros
gamma.html,8,H3,Ejemplo resuelto
gamma.html,9,H3,¿Qué calcula esta herramienta?
gamma.html,10,H3,Cómo interpretar el resultado
gamma.html,11,H3,Calculadoras relacionadas
gamma.html,12,H3,Preguntas frecuentes
geometric.html,1,H1,Distribución Geométrica
geometric.html,2,H2,Configuración
geometric.html,3,H2,Resultado y visualización
geometric.html,4,H3,Distribución geométrica
geometric.html,5,H3,Explicación breve
geometric.html,6,H3,Fórmula
geometric.html,7,H3,Parámetros
geometric.html,8,H3,Ejemplo resuelto
geometric.html,9,H3,¿Qué calcula esta herramienta?
geometric.html,10,H3,Cómo interpretar el resultado
geometric.html,11,H3,Calculadoras relacionadas
geometric.html,12,H3,Preguntas frecuentes
hypergeometric.html,1,H1,Distribución Hipergeométrica
hypergeometric.html,2,H2,Configuración
hypergeometric.html,3,H2,Resultado y visualización
hypergeometric.html,4,H3,Distribución hipergeométrica
hypergeometric.html,5,H3,Explicación breve
hypergeometric.html,6,H3,Fórmula
hypergeometric.html,7,H3,Parámetros
hypergeometric.html,8,H3,Ejemplo resuelto
hypergeometric.html,9,H3,¿Qué calcula esta herramienta?
hypergeometric.html,10,H3,Cómo interpretar el resultado
hypergeometric.html,11,H3,Calculadoras relacionadas
hypergeometric.html,12,H3,Preguntas frecuentes
intervalo-confianza-diferencia-medias.html,1,H1,Intervalo de confianza para la diferencia de medias
intervalo-confianza-diferencia-medias.html,2,H2,Calculadora
intervalo-confianza-diferencia-medias.html,3,H3,Explicación breve
intervalo-confianza-diferencia-medias.html,4,H3,Varianzas iguales (pooled)
intervalo-confianza-diferencia-medias.html,5,H3,Varianzas distintas (Welch)
intervalo-confianza-diferencia-medias.html,6,H3,Ejemplo resuelto
intervalo-confianza-diferencia-medias.html,7,H3,Supuestos para la diferencia de medias independientes
intervalo-confianza-diferencia-medias.html,8,H3,¿Varianzas iguales o distintas?
intervalo-confianza-diferencia-medias.html,9,H3,¿Qué calcula esta herramienta?
intervalo-confianza-diferencia-medias.html,10,H3,Calculadoras relacionadas
intervalo-confianza-diferencia-medias.html,11,H3,Preguntas frecuentes
intervalo-confianza-diferencia-proporciones.html,1,H1,Intervalo de confianza para la diferencia de proporciones
intervalo-confianza-diferencia-proporciones.html,2,H2,Calculadora
intervalo-confianza-diferencia-proporciones.html,3,H3,Explicación breve
intervalo-confianza-diferencia-proporciones.html,4,H3,Método de Wald (aproximación normal)
intervalo-confianza-diferencia-proporciones.html,5,H3,Método de Newcombe-Wilson (recomendado)
intervalo-confianza-diferencia-proporciones.html,6,H3,Ejemplo resuelto
intervalo-confianza-diferencia-proporciones.html,7,H3,Supuestos para comparar dos proporciones
intervalo-confianza-diferencia-proporciones.html,8,H3,¿Wald o Newcombe-Wilson?
intervalo-confianza-diferencia-proporciones.html,9,H3,¿Qué calcula esta herramienta?
intervalo-confianza-diferencia-proporciones.html,10,H3,Calculadoras relacionadas
intervalo-confianza-diferencia-proporciones.html,11,H3,Preguntas frecuentes
intervalo-confianza-diferencia-proporciones.html,12,H3,Referencias usadas
intervalo-confianza-media-poblacion-finita.html,1,H1,Intervalo de confianza para una media (población finita)
intervalo-confianza-media-poblacion-finita.html,2,H2,Calculadora
intervalo-confianza-media-poblacion-finita.html,3,H3,Explicación breve
intervalo-confianza-media-poblacion-finita.html,4,H3,Fórmula del IC con FPC
intervalo-confianza-media-poblacion-finita.html,5,H3,Cuándo el FPC es importante
intervalo-confianza-media-poblacion-finita.html,6,H3,Ejemplo resuelto
intervalo-confianza-media-poblacion-finita.html,7,H3,Supuestos del modelo
intervalo-confianza-media-poblacion-finita.html,8,H3,¿Qué calcula esta herramienta?
intervalo-confianza-media-poblacion-finita.html,9,H3,Cómo interpretar el resultado
intervalo-confianza-media-poblacion-finita.html,10,H3,Calculadoras relacionadas
intervalo-confianza-media-poblacion-finita.html,11,H3,Referencias
intervalo-confianza-media-sigma-conocida.html,1,H1,Intervalo de confianza para una media (σ conocida)
intervalo-confianza-media-sigma-conocida.html,2,H2,Calculadora
intervalo-confianza-media-sigma-conocida.html,3,H3,Explicación breve
intervalo-confianza-media-sigma-conocida.html,4,H3,Fórmula
intervalo-confianza-media-sigma-conocida.html,5,H3,Valores críticos z habituales
intervalo-confianza-media-sigma-conocida.html,6,H3,Ejemplo resuelto
intervalo-confianza-media-sigma-conocida.html,7,H3,Supuestos del intervalo z
intervalo-confianza-media-sigma-conocida.html,8,H3,Cómo interpretar el resultado
intervalo-confianza-media-sigma-conocida.html,9,H3,¿Qué calcula esta herramienta?
intervalo-confianza-media-sigma-conocida.html,10,H3,Cuándo usar este intervalo
intervalo-confianza-media-sigma-conocida.html,11,H3,Calculadoras relacionadas
intervalo-confianza-media-sigma-conocida.html,12,H3,Preguntas frecuentes
intervalo-confianza-media.html,1,H1,Intervalo de confianza para una media (σ desconocida)
intervalo-confianza-media.html,2,H2,Calculadora
intervalo-confianza-media.html,3,H3,Explicación breve
intervalo-confianza-media.html,4,H3,Fórmula
intervalo-confianza-media.html,5,H3,Ejemplo resuelto
intervalo-confianza-media.html,6,H3,Supuestos del intervalo t
intervalo-confianza-media.html,7,H3,Cómo interpretar el resultado
intervalo-confianza-media.html,8,H3,¿Qué calcula esta herramienta?
intervalo-confianza-media.html,9,H3,Ejemplo resuelto: intervalo para una media
intervalo-confianza-media.html,10,H3,Calculadoras relacionadas
intervalo-confianza-media.html,11,H3,Preguntas frecuentes
intervalo-confianza-medias-apareadas.html,1,H1,Intervalo de confianza para medias apareadas
intervalo-confianza-medias-apareadas.html,2,H2,Calculadora
intervalo-confianza-medias-apareadas.html,3,H3,Explicación breve
intervalo-confianza-medias-apareadas.html,4,H3,Fórmula
intervalo-confianza-medias-apareadas.html,5,H3,Ejemplo resuelto
intervalo-confianza-medias-apareadas.html,6,H3,Supuestos para medias apareadas
intervalo-confianza-medias-apareadas.html,7,H3,¿En qué se diferencia del IC para diferencia de medias independientes?
intervalo-confianza-medias-apareadas.html,8,H3,¿Qué calcula esta herramienta?
intervalo-confianza-medias-apareadas.html,9,H3,Calculadoras relacionadas
intervalo-confianza-medias-apareadas.html,10,H3,Preguntas frecuentes
intervalo-confianza-medias-apareadas.html,11,H3,Referencias usadas
intervalo-confianza-odds-ratio.html,1,H1,Intervalo de confianza para odds ratio
intervalo-confianza-odds-ratio.html,2,H2,Calculadora
intervalo-confianza-odds-ratio.html,3,H3,Explicación breve
intervalo-confianza-odds-ratio.html,4,H3,Método logarítmico de Woolf
intervalo-confianza-odds-ratio.html,5,H3,Corrección de Haldane-Anscombe
intervalo-confianza-odds-ratio.html,6,H3,Ejemplo resuelto
intervalo-confianza-odds-ratio.html,7,H3,Supuestos para el IC de odds ratio
intervalo-confianza-odds-ratio.html,8,H3,¿En qué se diferencia del IC para ratio de proporciones?
intervalo-confianza-odds-ratio.html,9,H3,Cómo interpretar el intervalo
intervalo-confianza-odds-ratio.html,10,H3,¿Qué calcula esta herramienta?
intervalo-confianza-odds-ratio.html,11,H3,Calculadoras relacionadas
intervalo-confianza-odds-ratio.html,12,H3,Preguntas frecuentes
intervalo-confianza-odds-ratio.html,13,H3,Referencias usadas
intervalo-confianza-proporcion-poblacion-finita.html,1,H1,Intervalo de confianza para una proporción (población finita)
intervalo-confianza-proporcion-poblacion-finita.html,2,H2,Calculadora
intervalo-confianza-proporcion-poblacion-finita.html,3,H3,Explicación breve
intervalo-confianza-proporcion-poblacion-finita.html,4,H3,Fórmula del IC con FPC
intervalo-confianza-proporcion-poblacion-finita.html,5,H3,Cuándo el FPC es importante
intervalo-confianza-proporcion-poblacion-finita.html,6,H3,Ejemplo resuelto
intervalo-confianza-proporcion-poblacion-finita.html,7,H3,Supuestos del modelo
intervalo-confianza-proporcion-poblacion-finita.html,8,H3,¿Qué calcula esta herramienta?
intervalo-confianza-proporcion-poblacion-finita.html,9,H3,Cómo interpretar el resultado
intervalo-confianza-proporcion-poblacion-finita.html,10,H3,Calculadoras relacionadas
intervalo-confianza-proporcion-poblacion-finita.html,11,H3,Referencias
intervalo-confianza-proporcion.html,1,H1,Intervalo de confianza para una proporción
intervalo-confianza-proporcion.html,2,H2,Calculadora
intervalo-confianza-proporcion.html,3,H3,Explicación breve
intervalo-confianza-proporcion.html,4,H3,Método de Wald (aproximación normal)
intervalo-confianza-proporcion.html,5,H3,"Método de Wilson (score, recomendado)"
intervalo-confianza-proporcion.html,6,H3,Ejemplo resuelto
intervalo-confianza-proporcion.html,7,H3,Supuestos para el IC de una proporción
intervalo-confianza-proporcion.html,8,H3,Diferencias entre Wald y Wilson
intervalo-confianza-proporcion.html,9,H3,¿Cuándo usar cada método?
intervalo-confianza-proporcion.html,10,H3,¿Qué calcula esta herramienta?
intervalo-confianza-proporcion.html,11,H3,Calculadoras relacionadas
intervalo-confianza-proporcion.html,12,H3,Preguntas frecuentes
intervalo-confianza-ratio-proporciones.html,1,H1,Intervalo de confianza para ratio de proporciones
intervalo-confianza-ratio-proporciones.html,2,H2,Calculadora
intervalo-confianza-ratio-proporciones.html,3,H3,Explicación breve
intervalo-confianza-ratio-proporciones.html,4,H3,Método logarítmico para el ratio de proporciones
intervalo-confianza-ratio-proporciones.html,5,H3,Corrección para celdas cero
intervalo-confianza-ratio-proporciones.html,6,H3,Ejemplo resuelto
intervalo-confianza-ratio-proporciones.html,7,H3,Supuestos para el ratio de proporciones
intervalo-confianza-ratio-proporciones.html,8,H3,¿En qué se diferencia del IC para odds ratio?
intervalo-confianza-ratio-proporciones.html,9,H3,Cómo interpretar el intervalo
intervalo-confianza-ratio-proporciones.html,10,H3,¿Qué calcula esta herramienta?
intervalo-confianza-ratio-proporciones.html,11,H3,Calculadoras relacionadas
intervalo-confianza-ratio-proporciones.html,12,H3,Preguntas frecuentes
intervalo-confianza-ratio-proporciones.html,13,H3,Referencias usadas
intervalo-confianza-varianza.html,1,H1,Intervalo de confianza para una varianza
intervalo-confianza-varianza.html,2,H2,Calculadora
intervalo-confianza-varianza.html,3,H3,Explicación breve
intervalo-confianza-varianza.html,4,H3,Fórmula para la varianza
intervalo-confianza-varianza.html,5,H3,Fórmula para la desviación típica
intervalo-confianza-varianza.html,6,H3,Ejemplo resuelto
